"V","Ib","Ve"
0.0,-2.042e-07,0.004
0.00500500500501,-8e-08,0.0
0.01001001001,-2.45e-08,0.0
0.015015015015,-1.64e-08,0.0
0.02002002002,-1.26e-08,0.0
0.025025025025,-9.9e-09,0.0
0.03003003003,-8.3e-09,0.0
0.035035035035,-7.2e-09,0.0
0.04004004004,-6.4e-09,0.0
0.045045045045,-5.4e-09,0.0
0.0500500500501,-5e-09,0.0
0.0550550550551,-4.3e-09,0.0
0.0600600600601,-4e-09,0.0
0.0650650650651,-3.7e-09,0.0
0.0700700700701,-3.1e-09,0.0
0.0750750750751,-3e-09,0.0
0.0800800800801,-2.5e-09,0.0
0.0850850850851,-2.1e-09,0.0
0.0900900900901,-2e-09,0.0
0.0950950950951,-1.6e-09,0.0
0.1001001001,-1.8e-09,0.0
0.105105105105,-1.2e-09,0.0
0.11011011011,-1.3e-09,0.0
0.115115115115,-1.1e-09,0.0
0.12012012012,-1.4e-09,0.0
0.125125125125,-1e-09,0.0
0.13013013013,-1e-09,0.0
0.135135135135,-1e-09,0.0
0.14014014014,-9e-10,0.0
0.145145145145,-3e-10,0.0
0.15015015015,-5e-10,0.0
0.155155155155,-4e-10,0.0
0.16016016016,-4e-10,0.0
0.165165165165,-5e-10,0.0
0.17017017017,-4e-10,0.0
0.175175175175,-5e-10,0.0
0.18018018018,-4e-10,0.0
0.185185185185,-4e-10,0.0
0.19019019019,-4e-10,0.0
0.195195195195,1e-10,0.0
0.2002002002,0.0,0.0
0.205205205205,0.0,0.0
0.21021021021,3e-10,0.0
0.215215215215,-2e-10,0.0
0.22022022022,0.0,0.0
0.225225225225,1e-10,0.0
0.23023023023,-4e-10,0.0
0.235235235235,2e-10,0.0
0.24024024024,0.0,0.0
0.245245245245,1e-10,0.0
0.25025025025,1e-10,0.0
0.255255255255,2e-10,0.0
0.26026026026,3e-10,0.0
0.265265265265,5e-10,0.0
0.27027027027,0.0,0.0
0.275275275275,3e-10,0.0
0.28028028028,2e-10,0.0
0.285285285285,5e-10,0.0
0.29029029029,4e-10,0.0
0.295295295295,4e-10,0.0
0.3003003003,2e-10,0.0
0.305305305305,8e-10,0.0
0.31031031031,6e-10,0.0
0.315315315315,3e-10,0.0
0.32032032032,8e-10,0.0
0.325325325325,7e-10,0.0
0.33033033033,3e-10,0.0
0.335335335335,2e-10,0.0
0.34034034034,5e-10,0.0
0.345345345345,3e-10,0.0
0.35035035035,1.4e-09,0.0
0.355355355355,7e-10,0.0
0.36036036036,1.6e-09,0.0
0.365365365365,6e-10,0.0
0.37037037037,8e-10,0.0
0.375375375375,9e-10,0.0
0.38038038038,5e-10,0.0
0.385385385385,1.1e-09,0.0
0.39039039039,1.5e-09,0.0
0.395395395395,6e-10,0.0
0.4004004004,1e-09,0.0
0.405405405405,1.4e-09,0.0
0.41041041041,1e-09,0.0
0.415415415415,1.1e-09,0.0
0.42042042042,1.9e-09,0.001
0.425425425425,1.4e-09,0.001
0.43043043043,1.6e-09,0.001
0.435435435435,2e-09,0.001
0.44044044044,2.2e-09,0.001
0.445445445445,1.9e-09,0.001
0.45045045045,1.8e-09,0.001
0.455455455455,1.9e-09,0.002
0.46046046046,2.7e-09,0.002
0.465465465465,3.1e-09,0.002
0.47047047047,3.2e-09,0.003
0.475475475475,2.2e-09,0.003
0.48048048048,4.6e-09,0.004
0.485485485485,4.7e-09,0.005
0.49049049049,6.2e-09,0.005
0.495495495495,7.1e-09,0.007
0.500500500501,6.9e-09,0.008
0.505505505506,8.9e-09,0.009
0.510510510511,8.6e-09,0.01
0.515515515516,9.7e-09,0.012
0.520520520521,1.05e-08,0.013
0.525525525526,1.27e-08,0.015
0.530530530531,1.3e-08,0.017
0.535535535536,1.52e-08,0.019
0.540540540541,1.61e-08,0.021
0.545545545546,1.85e-08,0.024
0.550550550551,1.96e-08,0.026
0.555555555556,2.11e-08,0.029
0.560560560561,2.25e-08,0.031
0.565565565566,2.42e-08,0.034
0.570570570571,2.69e-08,0.037
0.575575575576,2.88e-08,0.04
0.580580580581,3.04e-08,0.043
0.585585585586,3.16e-08,0.046
0.590590590591,3.44e-08,0.05
0.595595595596,3.57e-08,0.053
0.600600600601,3.81e-08,0.056
0.605605605606,4.01e-08,0.06
0.610610610611,4.28e-08,0.063
0.615615615616,4.47e-08,0.067
0.620620620621,4.71e-08,0.071
0.625625625626,4.89e-08,0.075
0.630630630631,5.18e-08,0.078
0.635635635636,5.42e-08,0.082
0.640640640641,5.61e-08,0.086
0.645645645646,5.96e-08,0.09
0.650650650651,6.07e-08,0.094
0.655655655656,6.29e-08,0.098
0.660660660661,6.56e-08,0.102
0.665665665666,6.79e-08,0.106
0.670670670671,7.09e-08,0.11
0.675675675676,7.33e-08,0.114
0.680680680681,7.66e-08,0.118
0.685685685686,7.78e-08,0.122
0.690690690691,8.05e-08,0.126
0.695695695696,8.29e-08,0.13
0.700700700701,8.53e-08,0.134
0.705705705706,8.77e-08,0.139
0.710710710711,9.11e-08,0.143
0.715715715716,9.3e-08,0.147
0.720720720721,9.62e-08,0.152
0.725725725726,9.74e-08,0.156
0.730730730731,1e-07,0.16
0.735735735736,1.033e-07,0.164
0.740740740741,1.042e-07,0.169
0.745745745746,1.077e-07,0.173
0.750750750751,1.1e-07,0.178
0.755755755756,1.121e-07,0.183
0.760760760761,1.164e-07,0.187
0.765765765766,1.188e-07,0.191
0.770770770771,1.206e-07,0.196
0.775775775776,1.223e-07,0.2
0.780780780781,1.264e-07,0.204
0.785785785786,1.291e-07,0.209
0.790790790791,1.32e-07,0.213
0.795795795796,1.334e-07,0.218
0.800800800801,1.353e-07,0.222
0.805805805806,1.387e-07,0.227
0.810810810811,1.411e-07,0.231
0.815815815816,1.436e-07,0.236
0.820820820821,1.463e-07,0.24
0.825825825826,1.471e-07,0.244
0.830830830831,1.499e-07,0.249
0.835835835836,1.538e-07,0.253
0.840840840841,1.558e-07,0.258
0.845845845846,1.588e-07,0.262
0.850850850851,1.585e-07,0.267
0.855855855856,1.629e-07,0.271
0.860860860861,1.649e-07,0.276
0.865865865866,1.69e-07,0.28
0.870870870871,1.71e-07,0.285
0.875875875876,1.74e-07,0.289
0.880880880881,1.78e-07,0.294
0.885885885886,1.8e-07,0.298
0.890890890891,1.82e-07,0.303
0.895895895896,1.85e-07,0.308
0.900900900901,1.88e-07,0.312
0.905905905906,1.9e-07,0.317
0.910910910911,1.91e-07,0.321
0.915915915916,1.95e-07,0.326
0.920920920921,1.96e-07,0.33
0.925925925926,1.98e-07,0.335
0.930930930931,2.02e-07,0.339
0.935935935936,2.03e-07,0.344
0.940940940941,2.08e-07,0.348
0.945945945946,2.12e-07,0.353
0.950950950951,2.15e-07,0.357
0.955955955956,2.15e-07,0.362
0.960960960961,2.17e-07,0.367
0.965965965966,2.22e-07,0.371
0.970970970971,2.22e-07,0.376
0.975975975976,2.25e-07,0.381
0.980980980981,2.28e-07,0.386
0.985985985986,2.32e-07,0.391
0.990990990991,2.34e-07,0.396
0.995995995996,2.35e-07,0.4
1.001001001,2.39e-07,0.405
1.00600600601,2.41e-07,0.41
1.01101101101,2.46e-07,0.415
1.01601601602,2.46e-07,0.42
1.02102102102,2.49e-07,0.424
1.02602602603,2.52e-07,0.429
1.03103103103,2.56e-07,0.434
1.03603603604,2.58e-07,0.439
1.04104104104,2.6e-07,0.443
1.04604604605,2.61e-07,0.448
1.05105105105,2.63e-07,0.452
1.05605605606,2.67e-07,0.457
1.06106106106,2.7e-07,0.462
1.06606606607,2.74e-07,0.467
1.07107107107,2.77e-07,0.471
1.07607607608,2.78e-07,0.476
1.08108108108,2.81e-07,0.481
1.08608608609,2.82e-07,0.485
1.09109109109,2.83e-07,0.49
1.0960960961,2.89e-07,0.495
1.1011011011,2.93e-07,0.5
1.10610610611,2.96e-07,0.504
1.11111111111,2.97e-07,0.509
1.11611611612,2.97e-07,0.514
1.12112112112,3.03e-07,0.519
1.12612612613,3.03e-07,0.524
1.13113113113,3.06e-07,0.528
1.13613613614,3.1e-07,0.533
1.14114114114,3.13e-07,0.538
1.14614614615,3.15e-07,0.543
1.15115115115,3.17e-07,0.548
1.15615615616,3.21e-07,0.552
1.16116116116,3.23e-07,0.557
1.16616616617,3.27e-07,0.562
1.17117117117,3.27e-07,0.566
1.17617617618,3.32e-07,0.571
1.18118118118,3.34e-07,0.575
1.18618618619,3.35e-07,0.58
1.19119119119,3.38e-07,0.585
1.1961961962,3.41e-07,0.589
1.2012012012,3.44e-07,0.594
1.20620620621,3.47e-07,0.599
1.21121121121,3.5e-07,0.603
1.21621621622,3.52e-07,0.608
1.22122122122,3.55e-07,0.613
1.22622622623,3.6e-07,0.618
1.23123123123,3.6e-07,0.623
1.23623623624,3.62e-07,0.627
1.24124124124,3.66e-07,0.632
1.24624624625,3.67e-07,0.637
1.25125125125,3.7e-07,0.643
1.25625625626,3.75e-07,0.647
1.26126126126,3.76e-07,0.652
1.26626626627,3.77e-07,0.657
1.27127127127,3.81e-07,0.662
1.27627627628,3.81e-07,0.667
1.28128128128,3.87e-07,0.672
1.28628628629,3.87e-07,0.676
1.29129129129,3.92e-07,0.681
1.2962962963,3.94e-07,0.686
1.3013013013,3.96e-07,0.691
1.30630630631,3.98e-07,0.696
1.31131131131,3.99e-07,0.7
1.31631631632,4.04e-07,0.705
1.32132132132,4.08e-07,0.71
1.32632632633,4.09e-07,0.714
1.33133133133,4.11e-07,0.719
1.33633633634,4.14e-07,0.724
1.34134134134,4.17e-07,0.728
1.34634634635,4.21e-07,0.733
1.35135135135,4.24e-07,0.738
1.35635635636,4.24e-07,0.743
1.36136136136,4.26e-07,0.748
1.36636636637,4.3e-07,0.753
1.37137137137,4.32e-07,0.758
1.37637637638,4.34e-07,0.762
1.38138138138,4.37e-07,0.767
