"Vb","Ib","Vc"
0.0,-2.042e-07,4.985
0.00500500500501,-1.2e-07,5.03
0.01001001001,-2.88e-08,5.025
0.015015015015,-1.8e-08,5.025
0.02002002002,-1.34e-08,5.025
0.025025025025,-1.03e-08,5.025
0.03003003003,-8.2e-09,5.025
0.035035035035,-6.6e-09,5.025
0.04004004004,-5.7e-09,5.025
0.045045045045,-4.7e-09,5.025
0.0500500500501,-4e-09,5.025
0.0550550550551,-3.2e-09,5.025
0.0600600600601,-2.8e-09,5.025
0.0650650650651,-2.6e-09,5.025
0.0700700700701,-2.2e-09,5.025
0.0750750750751,-1.3e-09,5.025
0.0800800800801,-1.3e-09,5.025
0.0850850850851,-1e-09,5.025
0.0900900900901,-9e-10,5.025
0.0950950950951,-5e-10,5.025
0.1001001001,-2e-10,5.025
0.105105105105,1e-10,5.025
0.11011011011,2e-10,5.025
0.115115115115,3e-10,5.025
0.12012012012,4e-10,5.025
0.125125125125,5e-10,5.025
0.13013013013,8e-10,5.025
0.135135135135,5e-10,5.025
0.14014014014,8e-10,5.025
0.145145145145,1e-09,5.025
0.15015015015,1.2e-09,5.025
0.155155155155,1.2e-09,5.025
0.16016016016,1.2e-09,5.025
0.165165165165,1.2e-09,5.025
0.17017017017,1.5e-09,5.025
0.175175175175,1.4e-09,5.025
0.18018018018,1.2e-09,5.025
0.185185185185,1e-09,5.025
0.19019019019,1.4e-09,5.025
0.195195195195,1.7e-09,5.025
0.2002002002,1.5e-09,5.025
0.205205205205,2e-09,5.025
0.21021021021,1.7e-09,5.025
0.215215215215,1.9e-09,5.025
0.22022022022,2e-09,5.025
0.225225225225,2e-09,5.025
0.23023023023,1.8e-09,5.025
0.235235235235,1.9e-09,5.03
0.24024024024,2.1e-09,5.025
0.245245245245,2.1e-09,5.025
0.25025025025,2.7e-09,5.03
0.255255255255,2.3e-09,5.03
0.26026026026,2.1e-09,5.025
0.265265265265,2.6e-09,5.025
0.27027027027,2.1e-09,5.025
0.275275275275,2.4e-09,5.025
0.28028028028,2.2e-09,5.025
0.285285285285,2.3e-09,5.025
0.29029029029,2e-09,5.025
0.295295295295,2e-09,5.025
0.3003003003,2.4e-09,5.03
0.305305305305,2.4e-09,5.03
0.31031031031,2.5e-09,5.03
0.315315315315,2.2e-09,5.03
0.32032032032,2.3e-09,5.025
0.325325325325,2.3e-09,5.025
0.33033033033,2.5e-09,5.025
0.335335335335,2.7e-09,5.025
0.34034034034,2.9e-09,5.025
0.345345345345,2.7e-09,5.025
0.35035035035,3.1e-09,5.025
0.355355355355,2.7e-09,5.025
0.36036036036,2.9e-09,5.025
0.365365365365,2.7e-09,5.025
0.37037037037,2.8e-09,5.025
0.375375375375,2.7e-09,5.025
0.38038038038,2.5e-09,5.025
0.385385385385,2.5e-09,5.025
0.39039039039,2.7e-09,5.025
0.395395395395,2.3e-09,5.025
0.4004004004,3.5e-09,5.025
0.405405405405,3.2e-09,5.025
0.41041041041,2.5e-09,5.025
0.415415415415,2.6e-09,5.025
0.42042042042,3.6e-09,5.025
0.425425425425,4e-09,5.025
0.43043043043,3.8e-09,5.025
0.435435435435,3.5e-09,5.025
0.44044044044,3.6e-09,5.025
0.445445445445,3.8e-09,5.025
0.45045045045,4.6e-09,5.02
0.455455455455,4.5e-09,5.02
0.46046046046,4.6e-09,5.02
0.465465465465,4.3e-09,5.02
0.47047047047,5e-09,5.02
0.475475475475,5.5e-09,5.015
0.48048048048,7.3e-09,5.01
0.485485485485,7e-09,5.01
0.49049049049,8.4e-09,5.01
0.495495495495,8.3e-09,5.005
0.500500500501,8.1e-09,5.0
0.505505505506,1.03e-08,4.995
0.510510510511,1.11e-08,4.99
0.515515515516,1.18e-08,4.99
0.520520520521,1.37e-08,4.985
0.525525525526,1.42e-08,4.98
0.530530530531,1.52e-08,4.97
0.535535535536,1.71e-08,4.965
0.540540540541,1.91e-08,4.96
0.545545545546,2.03e-08,4.95
0.550550550551,2.2e-08,4.945
0.555555555556,2.37e-08,4.935
0.560560560561,2.51e-08,4.925
0.565565565566,2.71e-08,4.92
0.570570570571,2.8e-08,4.91
0.575575575576,3.08e-08,4.9
0.580580580581,3.33e-08,4.89
0.585585585586,3.48e-08,4.88
0.590590590591,3.72e-08,4.87
0.595595595596,3.94e-08,4.86
0.600600600601,4.1e-08,4.85
0.605605605606,4.33e-08,4.84
0.610610610611,4.62e-08,4.83
0.615615615616,4.72e-08,4.815
0.620620620621,5.03e-08,4.805
0.625625625626,5.2e-08,4.795
0.630630630631,5.37e-08,4.785
0.635635635636,5.81e-08,4.77
0.640640640641,6.01e-08,4.76
0.645645645646,6.13e-08,4.745
0.650650650651,6.38e-08,4.735
0.655655655656,6.68e-08,4.725
0.660660660661,6.82e-08,4.71
0.665665665666,7.01e-08,4.7
0.670670670671,7.32e-08,4.685
